zone,age,percentage,num_people,num_population
Primary,Under 5 ,8.831720902961008,1205,13644
Primary,5-9 ,7.248607446496629,989,13644
Primary,10-14 ,4.8299618880093815,659,13644
Primary,15-19,5.980650835532102,816,13644
Primary,20-24,5.702140134857813,778,13644
Primary,25-34,13.603048959249488,1856,13644
Primary,35-44,9.850483729111698,1344,13644
Primary,45-54,13.199941366168279,1801,13644
Primary,55-59 ,4.793315743183817,654,13644
Primary,60-64,8.150102609205511,1112,13644
Primary,65-74,11.741424802110817,1602,13644
Primary,75-84,5.8487247141600704,798,13644
Primary,85 -over,3.1369099970683085,428,13644
Secondary,Under 5 ,9.587759718437049,65189,679919
Secondary,5-9 ,6.875230726012951,46746,679919
Secondary,10-14 ,7.7468051341409785,52672,679919
Secondary,15-19,7.565165850638091,51437,679919
Secondary,20-24,6.684031480220438,45446,679919
Secondary,25-34,13.871505282246856,94315,679919
Secondary,35-44,13.744431321966292,93451,679919
Secondary,45-54,12.76504995447987,86792,679919
Secondary,55-59 ,6.059104099164753,41197,679919
Secondary,60-64,5.691560318214375,38698,679919
Secondary,65-74,7.793134182159934,52987,679919
Secondary,75-84,3.59586950798551,24449,679919
Secondary,85 -over,1.2901536800707143,8772,679919
Delta,Under 5 ,9.572886673597063,66394,693563
Delta,5-9 ,6.882575915958608,47735,693563
Delta,10-14 ,7.689424032135508,53331,693563
Delta,15-19,7.533994748854827,52253,693563
Delta,20-24,6.664715389950156,46224,693563
Delta,25-34,13.866224120952243,96171,693563
Delta,35-44,13.667828301106027,94795,693563
Delta,45-54,12.773605281711973,88593,693563
Delta,55-59 ,6.034203093302266,41851,693563
Delta,60-64,5.739925572730956,39810,693563
Delta,65-74,7.8708062569658415,54589,693563
Delta,75-84,3.6401884183556503,25247,693563
Delta,85 -over,1.3264836792043404,9200,693563
