zone,tract
1,6067009800
1,6067009900
1,6077003900
1,6077004001
1,6113010401
2,6013301000
2,6013302005
2,6013302006
2,6013302007
2,6013302009
2,6013302011
2,6013302012
2,6013302013
2,6013302014
2,6013303104
2,6013303105
2,6013303106
2,6013303107
2,6013303202
2,6013303204
2,6013303207
2,6013303208
2,6013303209
2,6013303210
2,6013303211
2,6013304001
2,6013304002
2,6013304003
2,6013304004
2,6013304006
2,6013304007
2,6013305000
2,6013306002
2,6013306003
2,6013306004
2,6013307101
2,6013307102
2,6013307201
2,6013307202
2,6013307204
2,6013307205
2,6013308001
2,6013308002
2,6013309000
2,6013310000
2,6013311000
2,6013312000
2,6013313102
2,6013313104
2,6013313105
2,6013313106
2,6013313107
2,6013313203
2,6013313204
2,6013313205
2,6013313206
2,6013314102
2,6013314103
2,6013355107
2,6067004005
2,6067004006
2,6067004008
2,6067004011
2,6067004012
2,6067004015
2,6067004016
2,6067004017
2,6067004018
2,6067004019
2,6067004020
2,6067004201
2,6067004202
2,6067004301
2,6067004302
2,6067009601
2,6077000300
2,6077000401
2,6077000700
2,6077000802
2,6077000803
2,6077000900
2,6077001000
2,6077001101
2,6077001102
2,6077001200
2,6077002503
2,6077002504
2,6077003106
2,6077003108
2,6077003109
2,6077003110
2,6077003111
2,6077003112
2,6077003115
2,6077003116
2,6077003117
2,6077003118
2,6077003119
2,6077003210
2,6077003215
2,6077003216
2,6077003217
2,6077003308
2,6077003312
2,6077003803
2,6077003804
2,6077003805
2,6077003806
2,6077004003
2,6077004004
2,6077005106
2,6077005119
2,6077005127
2,6077005130
2,6077005208
2,6077005211
2,6077005212
2,6077005213
2,6077005214
2,6077005215
2,6077005219
2,6077005220
2,6077005221
2,6077005222
2,6077005223
2,6077005224
2,6077005225
2,6077005303
2,6077005307
2,6077005308
2,6077005309
2,6077005310
2,6077005311
2,6077005312
2,6077005403
2,6077005405
2,6077005406
2,6077005503
2,6077980000
2,6113010201
2,6113010203
2,6113010204
2,6113010310
2,6113010312
2,6113010313
2,6113010314
2,6113010315
2,6113010402
